
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
BA:C9:86:6C:79:EA, 2022-05-05 16:08:32, 2022-05-05 16:08:36, 11, 180, WPA2, CCMP, PSK, -80,        9,        2,   0.  0.  0.  0,  14, Redmi Note 10S, 
90:B8:32:45:E9:55, 2022-05-05 16:08:32, 2022-05-05 16:08:36, 11, 130, WPA2, CCMP, MGT, -64,        6,        0,   0.  0.  0.  0,  12, ExpleoMobile, 
90:B8:32:45:B5:15, 2022-05-05 16:08:32, 2022-05-05 16:08:36,  6, 130, WPA2, CCMP, MGT, -52,        5,        4,   0.  0.  0.  0,  12, ExpleoMobile, 
90:B8:32:45:7E:15, 2022-05-05 16:08:32, 2022-05-05 16:08:36, 11, 130, WPA2, CCMP, MGT, -53,        6,       20,   0.  0.  0.  0,  12, ExpleoMobile, 
66:DC:12:D2:3C:1F, 2022-05-05 16:08:29, 2022-05-05 16:08:37,  1, 180, WPA2, CCMP, PSK, -36,       14,        0,   0.  0.  0.  0,  12, C-me_0123456, 
90:B8:32:45:90:54, 2022-05-05 16:08:35, 2022-05-05 16:08:36, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
68:EC:C5:87:1D:6A, 2022-05-05 16:08:32, 2022-05-05 16:08:32, -47,        1, 90:B8:32:45:E9:54,
52:F9:C8:B5:EC:38, 2022-05-05 16:08:30, 2022-05-05 16:08:30, -34,        1, (not associated) ,
AC:D5:64:36:6A:3D, 2022-05-05 16:08:35, 2022-05-05 16:08:36, -68,        2, 90:B8:32:45:E9:54,
7C:70:DB:2F:2B:50, 2022-05-05 16:08:35, 2022-05-05 16:08:35, -73,        1, 90:B8:32:45:90:54,
D4:54:8B:B7:A0:9D, 2022-05-05 16:08:36, 2022-05-05 16:08:36, -76,        2, 90:B8:32:45:90:54,
24:11:45:3E:47:B2, 2022-05-05 16:08:36, 2022-05-05 16:08:36, -48,       18, 90:B8:32:45:7E:15,
D4:54:8B:B7:AE:12, 2022-05-05 16:08:36, 2022-05-05 16:08:36, -71,        1, 90:B8:32:45:B5:15,
18:56:80:B6:83:20, 2022-05-05 16:08:36, 2022-05-05 16:08:36, -78,        8, 90:B8:32:45:B5:14,
5C:80:B6:22:D0:A3, 2022-05-05 16:08:36, 2022-05-05 16:08:36, -66,        2, 90:B8:32:45:B5:15,
2C:6D:C1:AC:A1:4D, 2022-05-05 16:08:36, 2022-05-05 16:08:36, -74,        1, 90:B8:32:45:B5:14,
60:A5:E2:35:F9:D5, 2022-05-05 16:08:37, 2022-05-05 16:08:37, -83,        2, (not associated) ,W@GPS!USERS
D2:21:45:18:A2:17, 2022-05-05 16:08:38, 2022-05-05 16:08:38, -59,        2, (not associated) ,

