
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
BA:C9:86:6C:79:EA, 2022-05-05 16:16:04, 2022-05-05 16:16:08, 11, 180, WPA2, CCMP, PSK, -82,        4,        0,   0.  0.  0.  0,  14, Redmi Note 10S, 
90:B8:32:45:E9:55, 2022-05-05 16:16:04, 2022-05-05 16:16:08, 11, 130, WPA2, CCMP, MGT, -66,        6,        3,   0.  0.  0.  0,  12, ExpleoMobile, 
90:B8:32:45:7E:15, 2022-05-05 16:16:04, 2022-05-05 16:16:08, 11, 130, WPA2, CCMP, MGT, -59,        5,        2,   0.  0.  0.  0,  12, ExpleoMobile, 
90:B8:32:45:B5:15, 2022-05-05 16:16:04, 2022-05-05 16:16:08,  6, 130, WPA2, CCMP, MGT, -62,        4,       10,   0.  0.  0.  0,  12, ExpleoMobile, 
90:B8:32:45:90:54, 2022-05-05 16:16:08, 2022-05-05 16:16:08, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E2:B1:80:41:02:11, 2022-05-05 16:16:01, 2022-05-05 16:16:01, -71,        2, (not associated) ,
D4:54:8B:B7:AE:12, 2022-05-05 16:16:04, 2022-05-05 16:16:04, -69,        1, 90:B8:32:45:B5:15,
5C:80:B6:22:D0:A3, 2022-05-05 16:16:04, 2022-05-05 16:16:08, -64,        2, 90:B8:32:45:B5:15,
52:33:80:22:53:33, 2022-05-05 16:16:01, 2022-05-05 16:16:01, -51,        1, (not associated) ,
68:EC:C5:87:1D:6A, 2022-05-05 16:16:04, 2022-05-05 16:16:04, -48,        4, 90:B8:32:45:7E:14,
24:11:45:3E:47:B2, 2022-05-05 16:16:04, 2022-05-05 16:16:04, -47,        3, 90:B8:32:45:B5:15,
F4:D1:08:C3:DB:60, 2022-05-05 16:16:02, 2022-05-05 16:16:02, -40,        2, (not associated) ,W@GPS!USERS
32:AA:3B:95:32:57, 2022-05-05 16:16:07, 2022-05-05 16:16:07, -40,        2, (not associated) ,
AC:D5:64:36:6A:3D, 2022-05-05 16:16:08, 2022-05-05 16:16:08, -63,        1, 90:B8:32:45:E9:54,
7C:70:DB:2F:2B:50, 2022-05-05 16:16:08, 2022-05-05 16:16:08, -77,        2, 90:B8:32:45:90:54,
2C:6D:C1:AC:A1:4D, 2022-05-05 16:16:08, 2022-05-05 16:16:08, -75,        8, 90:B8:32:45:B5:14,
60:A5:E2:31:BD:CF, 2022-05-05 16:16:08, 2022-05-05 16:16:08, -66,        1, 90:B8:32:45:B5:14,
F9:BA:8C:87:2D:AF, 2022-05-05 16:16:09, 2022-05-05 16:16:09, -83,        1, (not associated) ,

